'jian'qiao'bei	建桥杯	011124.129632.121324	51111254.1234313432.12341324
'xie'sai'ke	谢塞克	409514.467639.128035	453251113124.4451122134121.1225135
'xie'yue'zhang	谢悦章	409514.494385.618112	453251113124.4424325135.41431251112
'xie'guai	谢怪	409514.495419	453251113124.44254121
'xie'yu'guo	谢裕国	409514.6393.251141	453251113124.452343434251.25112141
'xie'yun'chao	谢耘超	409514.711154.765380	453251113124.1112341154.121213453251
'xie'rui	谢锐	409514.914385	453251113124.311154325135
'zhu'da'mei'guo'pai	主打美国牌	411.1012.431114.251141.321532	41121.12112.431121134.25112141.321532511312
'zhu'qiu	主球	411.111244	41121.11211241344
'zhu'dong'xuan'gua	主动悬挂	411.115453.275465.101919	41121.115453.25111544544.121121121
'zhu'cai'pan	主裁判	411.121414.43322	41121.121413534534.4311322
'zhu'chang	主场	411.19533	41121.121533
'zhu'chang'bi'sai	主场比赛	411.19533.1535.467638	41121.121533.1535.44511221342534
'zhu'chang'you'shi	主场优势	411.19533.321354.103543	41121.121533.321354.12135453
'zhu'jiang	主将	411.412904	41121.412354124
'zhu'xi'hou'xuan'ren	主席候选人	411.471825.322514.319354.34	41121.4131221252.3225131134.312135454.34
'zhu'dui	主队	411.5234	41121.5234
'zhu'ban'dan'wei	主办单位	411.5344.438112.3261	41121.5344.43251112.3241431
'zhu'ban'fang	主办方	411.5344.60	41121.5344.4153
'zhu'yao'zhi'ze'wei	主要职责为	411.7459.728034.7128.4354	41121.125221531.12211125134.11212534.4354
'jian'zhen'pao'mo	减震泡沫	411314.161314.443555.44112	41131251534.145244441311534.44135515.44111234
'jian'zhen'qi	减震器	411314.161314.808010	41131251534.145244441311534.2512511344251251
'jian'su'wan	减速弯	411314.180234.6657	41131251534.1251234454.412234515
'ling'kong'fei'zhao	凌空飞罩	411930.463411.534.842182	4112134354.44534121.534.2522121251112
'zhuang'yuan'xi'meng'si	状元西蒙斯	412134.1135.74.174513.703312	4121344.1135.125351.1224511353334.122111343312
'zhuang'tai	状态	412134.134465	4121344.13444544
'zhuang'zu'gu'gan	壮族古杆	41219.603194.1280.12112	412121.41533131134.12251.1234112
'zhuang'zu'jian'dao	壮族尖刀	41219.603194.234134.53	412121.41533131134.234134.53
'zhuang'dao'pu	装倒扑	412194.321542.1024	412121413534.3215412122.12124
'jing'shi'pai	京师派	41234.23125.443334	41251234.231252.441333534
'jing'hua'qi'you'hui	京华棋友会	41234.323512.1270.1354.341154	41251234.323512.123412211134.1354.341154
'bing'chuan'tian'nv	冰川天女	412534.322.1134.59	412534.322.1134.531
'bing'ren	冰人	412534.34	412534.34
'gao'wei'shen'lu	高尾绅路	412580.0767.5583.299080	4125125251.5133115.55125112.2512121354251
'gao'gua	高挂	412580.101919	4125125251.121121121
'gao'chai	高拆	412580.103314	4125125251.12133124
'gao'pao	高抛	412580.103553	4125125251.1213553
'gao'pao'shi'fa'qiu	高抛式发球	412580.103553.112154.53544.111244	4125125251.1213553.112154.53544.11211241344
'gao'pao'fa'qiu	高抛发球	412580.103553.53544.111244	4125125251.1213553.53544.11211241344
'gao'tan'ma	高探马	412580.104532.50	4125125251.12145341234.551
'gao'tan'ma'dai'chuan'zhang	高探马带穿掌	412580.104532.50.122245.463479.248067	4125125251.12145341234.551.122245252.445341523.243452513112
'gao'qiu	高球	412580.111244	4125125251.11211241344
'gao'yun'guang	高云光	412580.1154.24135	4125125251.1154.243135
'gao'mu'he'zhuo	高木和卓	412580.12.9280.218112	4125125251.1234.31234251.21251112
'gao'mu'he'jian'yi	高木和健一	412580.12.9280.320114.1	4125125251.1234.31234251.3251111254.1
'gao'gan	高杆	412580.12112	4125125251.1234112
'gao'xiao'wei'qi'lian'meng	高校围棋联盟	412580.126634.251151.1270.724334.813684	4125125251.1234413434.2511521.123412211134.122111431134.2511351125221
'gao'qiao'mei'gui'jiang	高桥美贵江	412580.129632.431114.802128.44121	4125125251.1234313432.431121134.251212534.441121
'gao'zai'xi	高在熙	412580.13219.725159	4125125251.132121.12251255154444
'gao'zhe'zai'fu	高者在腹	412580.19381.13219.363180	4125125251.12132511.132121.3511312511354
'gao'chuan'liu	高川流	412580.322.444155	4125125251.322.4414154325
'gao'wei	高位	412580.3261	4125125251.3241431
'gao'qi	高启	412580.40780	4125125251.4513251
'gao'jun	高军	412580.4577	4125125251.451512
'gao'ning	高宁	412580.4612	4125125251.44512
'gao'jia'quan	高家拳	412580.4613.4367	4125125251.4451353334.4311343112
'gao'tian'liang	高恬亮	412580.4996.414535	4125125251.442312251.412514535
'gao'fei'qiu	高飞球	412580.534.111244	4125125251.534.11211241344
'gao'fei'xi'sheng'da	高飞牺牲打	412580.534.3174.31371.1012	4125125251.534.3121125351.312131121.12112
'gao'bu'dao'ping	高部道平	412580.618052.431384.14312	4125125251.4143125152.431325111454.14312
'gao'li'ze	高礼泽	412580.625.445412	4125125251.45245.44154112
'gao'shou	高手	412580.67	4125125251.3112
'gao'shou'ji'qiu	高手击球	412580.67.1120.111244	4125125251.3112.11252.11211241344
'gao'chun'lin	高春林	412580.7381.1212	4125125251.111342511.12341234
'gao'zhong'guo'liu	高中国流	412580.802.251141.444155	4125125251.2512.25112141.4414154325
'gao'diao	高吊	412580.8025	4125125251.251252
'gao'diao'qiu	高吊球	412580.8025.111244	4125125251.251252.11211241344
'gao'diao'hu'quan'qiu	高吊弧圈球	412580.8025.573354.254351.111244	4125125251.251252.51533544.25431134551.11211241344
'gao'yong'mei	高咏梅	412580.804554.123106	4125125251.25145534.12343155414
'gao'xi	高曦	412580.814314	4125125251.25114311213123415534
'gao'mu	高目	412580.82	4125125251.25111
'gao'di'ao	高迪奥	412580.83454.325684	4125125251.25121454.325431234134
'gao'duan	高段	412580.973554	4125125251.321113554
'qiao'yu'yu'yun	敲玉余韵	412584.114.34112.618131	41251252512154.11214.3411234.4143125113541
'jiang'bei	奖杯	412904.121324	412354134.12341324
'jiang'pai	奖牌	412904.321532	412354134.321532511312
'jiang'yue	将钺	412904.911554	412354124.3111515534
'ye'liang'chui'di'qian'shan'yue	夜凉吹笛千山月	413234.414124.803534.3783.312.20.36	41323544.4141251234.2513534.31431425121.312.252.3511
'zhun'xian'shou'guan'zi	准先手官子	413241.31935.67.462511.58	4132411121.312135.3112.44525151.521
'zhun'jue'sai	准决赛	413241.415134.467638	4132411121.415134.44511221342534
'zhun'ming'ren	准名人	413241.9080.34	4132411121.354251.34
'zhun'bei'ji'qiu'zi'shi	准备击球姿势	413241.9083.1120.111244.413539.103543	4132411121.35425121.11252.11211241344.413534531.12135453
'leng'xue'feng	冷雪峰	413444.1601.209071	4134454.14524444511.2523541112
'leng'zhe	冷着	413444.4382	4134454.43111325111
'li'kai'lei'wei'de	离开垒位的	413454.1132.545459.3261.381354	4134522554.1132.545454121.3241431.32511354
'li'chen'dao	离尘岛	413454.23419.9920	4134522554.234121.3545252
'li'he'qi	离合器	413454.92.808010	4134522554.341251.2512511344251251
'li'shen'qiu	离身球	413454.95.111244	4134522554.3251113.11211241344
'jing'si	净死	413502.1335	41355112.135435
'jing'sha	净杀	413502.3412	41355112.341234
'jing'huo	净活	413502.4496	41355112.441312251
'jing'chi	净吃	413502.80315	41355112.251315
'ci'ben'lei'da'shi'jie'ji'lu	次本垒打世界记录	413534.121.545459.1012.185.833432.40515.012414	413534.12341.545454121.12112.12215.251213432.45515.51124134
'ci'jian'bo'ji'san'qiu'bing	次见搏击三秋兵	413534.2535.101254.1120.111.9269.321214	413534.2535.1211251124124.11252.111.312344334.3212134
'ci'zhong'liang'ji	次重量级	413534.318121.811811.55354	413534.312511211.251112511211.551354
'ci'xu	次序	413534.4754	413534.4135452
'dao'lei'cheng'gong	盗垒成功	413534.545459.135534.12153	41353425221.545454121.135534.12153
'dao'lei'shi'bai	盗垒失败	413534.545459.31134.2890	41353425221.545454121.31134.25343134
'zi'shen'qiu'yuan	资深球员	413538.444532.111244.8028	4135342534.44145341234.11211241344.2512534
'ning'xing	凝形	413598.113233	4135311345452134.1132333
'ying'qi'bu'nao'shi	赢棋不闹事	413624.1270.1324.424125.180012	41525135112534354.123412211134.1324.42541252.12515112
'lei'xing'an'qu'chun'quan'chang	羸形暗去春泉长	413644.113233.816181.1954.7381.381254.3154	4152513511431112354.1132333.2511414312511.12154.111342511.325112534.3154
'liang'dou'bei	凉都杯	414124.193812.121324	4141251234.1213251152.12341324
'hao'men'bei	豪门杯	414513.42.121324	41251451353334.425.12341324
'liang'zhang	亮掌	414535.248067	412514535.243452513112
'wang'bing'de'bing	亡兵得兵	415.321214.338114.321214	415.3212134.33225111124.3212134
'feng'tian'wei	冯天薇	4150.1134.173320	41551.1134.1223322521353134
'feng'bi'hua	冯碧华	4150.113814.323512	41551.11213251113251.323512
'feng'ya'lan	冯亚兰	4150.122.431	41551.122431.43111
'feng'zhe	冯喆	4150.198010	41551.121251121251
'feng'wei	冯伟	4150.321152	41551.321152
'feng'yong	冯涌	4150.445422	41551.4415425112
'feng'yi	冯毅	4150.613534	41551.414313533343554
'feng'kui	冯魁	4150.954412	41551.3251135544412
'jue'chu'le	决出了	415134.02.52	415134.52252.52
'jue'you'shu	决牖术	415134.321544.124	415134.321545131251124.12344
'heng'ge'luo'lin	亨格罗林	4152.129080.8490.1212	4125152.1234354251.25221354.12341234
'heng'ge'luo'lin'sai'dao	亨格罗林赛道	4152.129080.8490.1212.467638.431384	4125152.1234354251.25221354.12341234.44511221342534.431325111454
'heng'fu'li'si	亨弗里斯	4152.5732.81211.703312	4125152.51532.2511211.122111343312
'heng'man	亨曼	4152.818454	4125152.25112522154
'heng'li'ai'lun'sen	亨利埃伦森	4152.9222.195494.323435.121212	4125152.3123422.1215431134.323435.123412341234
'wang'jing'wei'qi'hui'guan	望京围棋会馆	415361.41234.251151.1270.341154.304621	41535111121.41251234.2511521.123412211134.341154.35544525151
'qi'quan	弃权	415412.1254	4154132.123454
'qi'bu'qi	弃不起	415412.1324.76515	4154132.1324.1212134515
'qi'zi	弃子	415412.58	4154132.521
'qi'zi'zheng'xian	弃子争先	415412.58.35012.31935	4154132.521.355112.312135
'qi'zi'qu'shi	弃子取势	415412.58.7254.103543	4154132.521.12211154.12135453
'yu'miao'bei	育苗杯	415421.1783.121324	41542511.12225121.12341324
'yu'hong'xiao'xue	育红小学	415421.55121.234.6458	41542511.551121.234.44345521
'chong'yang	充养	415435.4332	415435.431113432
'xuan'wu'yan'xian'wei	玄武岩纤维	4156.112154.2014.55312.553241	41554.11212154.25213251.551312.55132411121
'xuan'ji'he'shang	玄机和尚	4156.1235.9280.242580	41554.123435.31234251.24325251
'xuan'dong	玄东	4156.15234	41554.15234
'xuan'jian'dao'yin'fa	玄鉴导引法	4156.223141.515124.572.441954	41554.2231434112431.515124.5152.44112154
'xuan'bai'zhu	玄白术	4156.381.124	41554.32511.12344
'xuan'xuan'qi'jing	玄玄棋经	4156.4156.1270.555411	41554.41554.123412211134.55154121
'xuan'xuan'ji	玄玄集	4156.4156.324172	41554.41554.324111211234
'xuan'jing'he	玄静和	4156.712512.9280	41554.11212511355112.31234251
'xuan'wei'zhen	玄味真	4156.80112.122734	41554.25111234.1225111134
'xuan'yue	玄钺	4156.911554	41554.3111515534
'wang'you	忘忧	41565.491354	4154544.4421354
'wang'you'ji	忘忧集	41565.491354.324172	4154544.4421354.324111211234
'wang'you'zuo'yin'dao'tian'ming	忘忧坐隐到天明	41565.491354.343419.523505.154192.1134.8136	4154544.4421354.3434121.52355114544.15412122.1134.25113511
'wang'you'qing'le'ji	忘忧清乐集	41565.491354.447121.35234.324172	4154544.4421354.44111212511.35234.324111211234
'mang'qi	盲棋	41582.1270	41525111.123412211134
'mang'dian	盲点	41582.218069	41525111.212514444
'guo'jin'hao	郭瑾浩	415852.1118.443190	4125152152.112112212511121.4413121251
'guo'tian'rui	郭天瑞	415852.1134.112012	4125152152.1134.1121252132522
'guo'yun'shen	郭云深	415852.1154.444532	4125152152.1154.44145341234
'guo'fang'fang	郭芳芳	415852.1760.1760	4125152152.1224153.1224153
'guo'bei'ya	郭北雅	415852.21135.793241	4125152152.21135.152332411121
'guo'yue	郭跃	415852.2996	4125152152.25121213134
'guo'yue'hua	郭跃华	415852.2996.323512	4125152152.25121213134.323512
'guo'ke'li	郭刻历	415852.415332.1353	4125152152.41533422.1353
'guo'yan	郭焱	415852.696969	4125152152.433443344334
'guo'juan	郭鹃	415852.802519	4125152152.251251135451
'guo'ming'xin	郭明鑫	415852.8136.919191	4125152152.25113511.341124313411243134112431
'dun'huang'qi'jing	敦煌棋经	415890.693811.1270.555411	412515213134.4334325111121.123412211134.55154121
'chong'qiang'lan'ban	冲抢篮板	41802.103455.372234.123354	412512.1213455.3143142231425221.12343354
'chong'tian	冲天	41802.1134	412512.1134
'chong'tian'jian'xia	冲天剑侠	41802.1134.341642.321434	412512.1134.341443122.32143134
'chong'xia'xuan	冲下旋	41802.124.603108	412512.124.41533152134
'chong'yan'jun'tuan	冲岩军团	41802.2014.4577.251231	412512.25213251.451512.251231
'chong'duan	冲断	41802.685332	412512.43123453312
'chong'jia	冲甲	41802.83	412512.25112
'chong'duan	冲段	41802.973554	412512.321113554
'guo'bian	裹鞭	418114.183214	41251112343534.122125112321251134
'guo'tou'wu'ren	裹头无刃	418114.44134.1135.534	41251112343534.44134.1135.534
'men'ru	门入	42.34	425.34
'men'wei	门卫	42.521	425.521
'men'chi	门吃	42.80315	425.251315
'men'luo	门罗	42.8490	425.25221354
'yan'sen	闫森	42111.121212	425111.123412341234
'yan'an	闫安	42111.4659	425111.445531
'xian'kan'shu'zhe'lan'qiao'ke	闲看数着烂樵柯	4212.311382.685990.4382.69431.123249.121802	4251234.311325111.4312345313134.43111325111.433443111.1234324111214444.123412512
'xian'ren'si'wo'shi'jian'wu	闲人似我世间无	4212.34.325434.312154.185.4281.1135	4251234.34.325434.3121534.12215.4252511.1135
'xian'qiao'qi'zi'luo'deng'hua	闲敲棋子落灯花	4212.412584.1270.58.174490.6912.173235	4251234.41251252512154.123412211134.521.122441354251.433412.1223235
'bi'qi'tai'xi	闭炁胎息	42123.153569.365480.38265	425123.15354444.351154251.3251114544
'bi'fang'hu	闭房户	42123.40760.407	425123.45134153.4513
'bi'qi'bu'xi	闭气不息	42123.67.1324.38265	425123.3115.1324.3251114544
'shan'tong'bei	闪通背	4234.542514.211351	42534.5425112454.211352511
'yan'sen	阎森	423597.121212	42535321511.123412341234
'yan'an	阎安	423597.4659	42535321511.445531
'yan'zi'ming	阎子明	423597.58.8136	42535321511.521.25113511
'men'chi	闷吃	4265.80315	4254544.251315
'min'na	闵娜	4266.595112	4254134.531511352
'wen'ti'shou	问题手	4280.811218.67	425251.251112134132534.3112
'wen'qiu'yin'she'yi'ping	问秋吟社弈评	4280.9269.803445.6219.66132.401432	425251.312344334.2513445.4524121.413234132.4514312
'lan'de'er	兰德尔	431.331285.35234	43111.332122522114544.35234
'lan'deng'ma'shao'er	兰登马绍尔	431.571801.50.555380.35234	43111.543341251431.551.55153251.35234
'lan'mu	兰姆	431.5906	43111.53155414
'lan'si'tuo'ma'si	兰斯托马斯	431.703312.10315.50.703312	43111.122111343312.121315.551.122111343312
'lan'si'dun	兰斯顿	431.703312.152518	43111.122111343312.1525132534
'lan'di'fu'ye	兰迪弗耶	431.83454.5732.7252	43111.25121454.51532.12211152
'jian'shan'tang'yi'pu	兼山堂弈谱	431014.20.248019.66132.404311	4315112234.252.24345251121.413234132.45431224312511
'mei'guo'ji'shu	美国技术	431114.251141.101254.124	431121134.25112141.1211254.12344
'mei'guo'ben'tu'qiu'dui	美国本土球队	431114.251141.121.19.111244.5234	431121134.25112141.12341.121.11211241344.5234
'mei'guo'da'pao	美国大炮	431114.251141.134.693555	431121134.25112141.134.433435515
'mei'guo'da'lian'meng	美国大联盟	431114.251141.134.724334.813684	431121134.25112141.134.122111431134.2511351125221
'mei'guo'gong'kai'sai	美国公开赛	431114.251141.3454.1132.467638	431121134.25112141.3454.1132.44511221342534
'mei'guo'lian'meng	美国联盟	431114.251141.724334.813684	431121134.25112141.122111431134.2511351125221
'mei'guo'zhi'bang'da'lian'meng	美国职棒大联盟	431114.251141.728034.127312.134.724334.813684	431121134.25112141.12211125134.123411134112.134.122111431134.2511351125221
'mei'guo'zhi'ye'bang'qiu	美国职业棒球	431114.251141.728034.22.127312.111244	431121134.25112141.12211125134.22431.123411134112.11211241344
'mei'guo'zhi'ye'bang'qiu'da'lian'meng	美国职业棒球大联盟	431114.251141.728034.22.127312.111244.134.724334.813684	431121134.25112141.12211125134.22431.123411134112.11211241344.134.122111431134.2511351125221
'mei'guo'che'dui	美国车队	431114.251141.77.5234	431121134.25112141.1512.5234
'mei'guo'che'shou	美国车手	431114.251141.77.67	431121134.25112141.1512.3112
'mei'guo'nan'zi'hong'tu'jin'biao'sai	美国男子红土锦标赛	431114.251141.8353.58.55121.19.913815.121124.467638	431121134.25112141.2512153.521.551121.121.3111532511252.123411234.44511221342534
'mei'xue	美学	431114.6458	431121134.44345521
'mei'nan	美男	431114.8353	431121134.2512153
'mei'luo'bei	美罗杯	431114.8490.121324	431121134.25221354.12341324
'xian'yi'fang	羡宜芳	431144.4627.1760	431121413534.44525111.1224153
'jiang'lei	姜磊	431159.141414	431121531.132511325113251
'jiang'dong'run	姜东润	431159.15234.444211	431121531.15234.4414251121
'jiang'zhi'sheng	姜至省	431159.15419.234382	431121531.154121.234325111
'jiang'ru'ze	姜儒泽	431159.321612.445412	431121531.3214524444132522.44154112
'jiang'hua'jun	姜华珺	431159.323512.110130	431121531.323512.11215113251
'jiang'xun	姜勋	431159.802853	431121531.251253453
'jiang'ming'gao	姜鸣皋	431159.8099.381132	431121531.25135451.3251113412
'jiang'wan'yu	姜晩寓	431159.813525.468124	431121531.251135252135.445251125214
'jiang'chang'pei	姜昌培	431159.8181.196180	431121531.25112511.12141431251
'gai'bu'yun'shou	盖步云手	431184.21233.1154.67	43112125221.2121233.1154.3112
'gai'mao	盖帽	431184.252512	43112125221.252251125111
'gai'yi	盖伊	431184.32013	43112125221.325113
'gai'de	盖德	431184.331285	43112125221.332122522114544
'gai'huo'guo'er	盖火锅儿	431184.69.918024.35	43112125221.4334.311152512534.35
'yang'chang'xian	羊肠线	4312.36533.551154	431112.3511533.55111534
'yang'xuan'bao	羊玄保	4312.4156.328012	431112.41554.322511234
'cha'yi'qi	差一气	43121.1.67	431113121.1.3115
'cha'su'qi	差速器	43121.180234.808010	431113121.1251234454.2512511344251251
'pu'la'mu'li	普拉姆利	431221.1061.5906.9222	431224312511.12141431.53155414.3123422
'pu'lin'si	普林斯	431221.1212.703312	431224312511.12341234.122111343312
'pu'lin'si'dun'da'fa	普林斯顿打发	431221.1212.703312.152518.1012.53544	431224312511.12341234.122111343312.1525132534.12112.53544
'pu'lin'si'tong	普林斯通	431221.1212.703312.542514	431224312511.12341234.122111343312.5425112454
'pu'tan	普碳	431221.142019	431224312511.13251252134334
'pu'lao'ze	普劳泽	431221.174553.445412	431224312511.1224553.44154112
'pu'teng'ma'lai'xi'ya'gong'kai'sai	普腾马来西亚公开赛	431221.364350.50.168.74.122.3454.1132.467638	431224312511.3511431134551.551.1431234.125351.122431.3454.1132.44511221342534
'pu'li'mo'la'ci	普里莫拉茨	431221.81211.178114.1061.174134	431224312511.2511211.1222511134.12141431.122413534
'pu'li'xi	普里希	431221.81211.341325	431224312511.2511211.3413252
'pu'luo'si'te	普罗斯特	431221.8490.703312.311914	431224312511.25221354.122111343312.3121121124
'qian'yi	前翼	431252.040484	431251122.54154125121122134
'qian'zhao	前招	431252.105380	431251122.12153251
'qian'zhao'hou'zhao	前招后招	431252.105380.33180.105380	431251122.12153251.331251.12153251
'qian'san'ban	前三板	431252.111.123354	431251122.111.12343354
'qian'chang	前场	431252.19533	431251122.121533
'qian'tang'niu'bu	前蹚拗步	431252.292489.105653.21233	431251122.251212124345251121.12155453.2121233
'qian'hou'ju	前后拒	431252.33180.101515	431251122.331251.1211515
'qian'hou'liang'mao	前后两矛	431252.33180.125344.543	431251122.331251.1253434.54523
'qian'chong	前冲	431252.41802	431251122.412512
'qian'chong'hu'quan'qiu	前冲弧圈球	431252.41802.573354.254351.111244	431251122.412512.51533544.25431134551.11211241344
'qian'bi'yi	前鼻翼	431252.97.040484	431251122.32511125121132.54154125121122134
'qian'bi'zhui	前鼻锥	431252.97.913241	431251122.32511125121132.3111532411121
'shou'er'xin'xing'jian'she'dui	首尔新星建设队	431382.35234.611232.81371.011124.403554.5234	431325111.35234.4143112343312.251131121.51111254.453554.5234
'shou'lun'bi'sai	首轮比赛	431382.773435.1535.467638	431325111.15213435.1535.44511221342534
'dao'ge	道格	431384.129080	431325111454.1234354251
'dao'qi'bang'qiu'chang	道奇棒球场	431384.134182.127312.111244.19533	431325111454.13412512.123411134112.11211241344.121533
'dao'jie	道节	431384.1752	431325111454.12252
'dao'chang	道场	431384.19533	431325111454.121533
'dao'ce	道策	431384.371254	431325111454.314314125234
'dao'ce'liu	道策流	431384.371254.444155	431325111454.314314125234.4414154325
'dao'de	道的	431384.381354	431325111454.32511354
'dao'xuan	道玄	431384.4156	431325111454.41554
'dao'yue	道悦	431384.494385	431325111454.4424325135
'dao'xin'wei'wei	道心惟微	431384.65.493241.332010	431325111454.4544.44232411121.3322521353134
'ni'xian'shou	逆先手	431524.31935.67	431523454.312135.3112
'ni'xiang'fa'qiu	逆向发球	431524.32580.53544.111244	431523454.325251.53544.11211241344
'ni'shou	逆收	431524.5290	431523454.523134
'ni'shou'guan	逆收官	431524.5290.462511	431523454.523134.44525151
'ni'chan	逆缠	431524.554781	431523454.5514132511211
'ni'chan'si	逆缠丝	431524.554781.55551	431523454.5514132511211.55551
'ni'xuan	逆旋	431524.603108	431523454.41533152134
'ni'shou'guan	逆手官	431524.67.462511	431523454.3112.44525151
'ni'zhuan	逆转	431524.771154	431523454.15211154
'ni'zhuan'sheng	逆转胜	431524.771154.36371	431523454.15211154.351131121
'ci'shi'ping	慈世平	431565.185.14312	4315545544544.12215.14312
'zi'wo'na'lie'wa	兹沃娜列娃	431566.4496.595112.1322.591919	431554554.4413134.531511352.135422.531121121
'zi'wei'lie'fu	兹维列夫	431566.553241.1322.1134	431554554.55132411121.135422.1134
'ban'jie'ji'qiu	半截击球	432.121324.1120.111244	43112.12132411121534.11252.11211241344
'ban'chang'jiao	半长胶	432.3154.366634	43112.3154.3511413434
'ban'xian	半先	432.31935	43112.312135
'ban'gao	半高	432.412580	43112.4125125251
'ban'gao'pao	半高抛	432.412580.103553	43112.4125125251.1213553
'ban'shou'ren	半兽人	432.438310.34	43112.43251211251.34
'ban'hu	半弧	432.573354	43112.51533544
'ban'xi'fang'shi	半西方式	432.74.60.112154	43112.125351.4153.112154
'ban'mu'fu	半目负	432.82.3528	43112.25111.352534
'ban'yan	半眼	432.8203	43112.25111511534
'ban'duan'qiang	半段枪	432.973554.123455	43112.321113554.12343455
'ceng'qi'de	曾启德	432521.40780.331285	432524312511.4513251.332122522114544
'ceng'bing'quan	曾炳权	432521.691254.1254	432524312511.433412534.123454
'yang'xing	养形	4332.113233	431113432.1132333
'bing'xie'zhu	并协助	4332.125344.2753	431132.125344.2511153
'bing'bu	并步	4332.21233	431132.2121233
'yang'nei	养内	4332.2534	431113432.2534
'yang'le'duo'dui	养乐多队	4332.35234.9090.5234	431113432.35234.354354.5234
'yang'sheng'shi'liu'yi	养生十六宜	4332.371.12.66.4627	431113432.31121.12.4134.44525111
'yang'sheng'zhuang	养生桩	4332.371.124719	431113432.31121.1234413121
'yang'sheng'wu'nan	养生五难	4332.371.1251.543241	431113432.31121.1251.5432411121
'yang'shen'yang'xing	养神养形	4332.6283.4332.113233	431113432.452425112.431113432.1132333
'yang'jing	养静	4332.712512	431113432.11212511355112
'yang'wai	养外	4332.9024	431113432.35424
'yang'he	养和	4332.9280	431113432.31234251
'pan'li	判例	43322.321322	4311322.32135422
'pan'ding'gong'fang	判定攻方	43322.461214.12190.60	4311322.44512134.1213134.4153
'guan'wu'e'shou	关无恶手	4334.1135.12265.67	431134.1135.1224314544.3112
'guan'shan'xian'tai'fu	关山仙太夫	4334.20.3220.1344.1134	431134.252.32252.1344.1134
'guan'fu	关斧	4334.343432	431134.34343312
'guan'men'chi	关门吃	4334.42.80315	431134.425.251315
'guan'qiao	关窍	4334.463415	431134.4453412115
'guan'xi'qi'yuan	关西棋院	4334.74.1270.524615	431134.125351.123412211134.524451135
'guan'lian	关连	4334.77454	431134.1512454
'guan'jian'qiu	关键球	4334.910114.111244	431134.3111551111254.11211241344
'song'guo'shou'wang'feng	送国手王逢	433444.251141.67.11.907144	431134454.25112141.3112.1121.3541112454
'song'dao'pu	送倒扑	433444.321542.1024	431134454.3215412122.12124
'zheng'da'xiang	郑大相	433452.134.1282	43113452.134.123425111
'zheng'dong'zhi	郑东植	433452.15234.121227	43113452.15234.123412251111
'zheng'yan	郑岩	433452.2014	43113452.25213251
'zheng'min'zhi	郑敏之	433452.310690.454	43113452.31554143134.454
'zheng'chang'gong	郑长弓	433452.3154.57	43113452.3154.515
'zheng'ce	郑策	433452.371254	43113452.314314125234
'zheng'shi'chang	郑诗畅	433452.401914.83533	43113452.45121124.25112533
'zheng'jie	郑洁	433452.441980	43113452.441121251
'zheng'huai'de	郑怀德	433452.491324.331285	43113452.4421324.332122522114544
'zheng'hong	郑弘	433452.5754	43113452.51554
'zheng'shou'xuan	郑寿铉	433452.73124.914156	43113452.1113124.3111541554
'zheng'ming'qi	郑铭琦	433452.919080.111342	43113452.31115354251.112113412512
'yi'zi'quan	义子拳	434.58.4367	434.521.4311343112
'juan'sha	卷杀	4355.3412	43113455.341234
'ti'hu	鹈鹕	435729.128039	435152335451.12251351135451
'quan'wang'jin'yao'dai	拳王金腰带	4367.11.91.367459.122245	4311343112.1121.34112431.3511125221531.122245252
'quan'shu	拳术	4367.124	4311343112.12344
'quan'shu'dui'lian'tao'lu	拳术对练套路	4367.124.54124.551554.13478.299080	4311343112.12344.54124.55115534.1341211154.2512121354251
'quan'dao'zhong'shu	拳道中枢	4367.431384.802.121345	4311343112.431325111454.2512.12341345
'quan'tou'liu	拳头六	4367.44134.66	4311343112.44134.4134
'quan'fa'bei'yao	拳法备要	4367.441954.9083.7459	4311343112.44112154.35425121.125221531
'quan'jing	拳经	4367.555411	4311343112.55154121
'quan'jing'jie'yao	拳经捷要	4367.555411.101014.7459	4311343112.55154121.12115112134.125221531
'quan'jing'quan'fa'bei'yao	拳经拳法备要	4367.555411.4367.441954.9083.7459	4311343112.55154121.4311343112.44112154.35425121.125221531
'quan'yi'shu'zhen	拳意述真	4367.618165.124454.122734	4311343112.4143125114544.12344454.1225111134
'qiu'mao	酋矛	4375.543	431253511.54523
'zong'de'fen	总得分	438065.338114.3453	432514544.33225111124.3453
'zong'jue'sai	总决赛	438065.415134.467638	432514544.415134.44511221342534
'zong'di	总缔	438065.556125	432514544.551414345252
'zong'di'xing'bu'ju	总缔型布局	438065.556125.113229.1325.07580	432514544.551414345252.113222121.13252.5135251
'zong'zi'shu	总子数	438065.58.685990	432514544.521.4312345313134
'dan'tui	单退	438112.03454	43251112.511534454
'dan'da	单打	438112.1012	43251112.12112
'dan'da'yu'shuang'da'zhi'jian'de'chang'qu	单打与双打之间的场区	438112.1012.151.5454.1012.454.4281.381354.19533.1345	43251112.12112.151.5454.12112.454.4252511.32511354.121533.1345
'dan'da'chang'qu	单打场区	438112.1012.19533.1345	43251112.12112.121533.1345
'dan'dang'yan'hu	单挡掩护	438112.102401.101345.10407	43251112.121243511.12113425115.1214513
'dan'jie	单接	438112.106159	43251112.12141431531
'dan'cao	单操	438112.108082	43251112.1212512512511234
'dan'cao'shou	单操手	438112.108082.67	43251112.1212512512511234.3112
