'jian'mo	建模	011124.121784	51111254.12341222511134
'leng'dong'sheng'hua'jing	冷冻升华阱	413444.411524.3132.323512.5276	4134454.4115234.3132.323512.521132
'leng'ning'beng	冷凝泵	413444.413598.142534	4134454.4135311345452134.132512534
'leng'yin'ji	冷阴极	413444.5236.12354	4134454.523511.1234354
'leng'jing	冷阱	413444.5276	4134454.521132
'leng'jia'gong	冷加工	413444.5380.121	4134454.53251.121
'leng'zhan'dian	冷站点	413444.612180.218069	4134454.4143121251.212514444
'leng'han	冷焊	413444.698112	4134454.43342511112
'leng'han'dian	冷焊点	413444.698112.218069	4134454.43342511112.212514444
'leng'bei'fen	冷备份	413444.9083.323453	4134454.35425121.323453
'li'san'zhi'ling	离散指令	413454.182510.103581.34454	4134522554.122125113134.121352511.34454
'li'san'kong'zhi'xi'tong	离散控制系统	413454.182510.104631.311252.356234.554155	4134522554.122125113134.12144534121.31125222.3554234.551415435
'li'san'song'chi'fa	离散松弛法	413454.182510.123454.57525.441954	4134522554.122125113134.12343454.515525.44112154
'li'san'chong'jian'wen'ti	离散重建问题	413454.182510.318121.011124.4280.811218	4134522554.122125113134.312511211.51111254.425251.251112134132534
'li'san'yu'xian'bian'huan	离散余弦变换	413454.182510.34112.574156.6654.103524	4134522554.122125113134.3411234.51541554.41223454.1213525134
'li'san'xi'er'bo'te'bian'huan	离散希尔伯特变换	413454.182510.341325.35234.32381.311914.6654.103524	4134522554.122125113134.3413252.35234.3232511.3121121124.41223454.1213525134
'li'san'fen'bu	离散分布	413454.182510.3453.1325	4134522554.122125113134.3453.13252
'li'san'xi'tong	离散系统	413454.182510.356234.554155	4134522554.122125113134.3554234.551415435
'li'san'juan'ji	离散卷积	413454.182510.4355.928034	4134522554.122125113134.43113455.3123425134
'li'san'dui'shu	离散对数	413454.182510.54124.685990	4134522554.122125113134.54124.4312345313134
'li'san'dui'shu'wen'ti	离散对数问题	413454.182510.54124.685990.4280.811218	4134522554.122125113134.54124.4312345313134.425251.251112134132534
'li'san'wen'ben	离散文本	413454.182510.66.121	4134522554.122125113134.4134.12341
'li'san'shi'yu'xin'hao	离散时域信号	413454.182510.81124.191804.3240.8015	4134522554.122125113134.2511124.12112511534.324111251.25115
'li'san'shi'jian'xi'tong	离散时间系统	413454.182510.81124.4281.356234.554155	4134522554.122125113134.2511124.4252511.3554234.551415435
'li'san'shi'jian'suan'fa	离散时间算法	413454.182510.81124.4281.378212.441954	4134522554.122125113134.2511124.4252511.31431425111132.44112154
'li'xian	离线	413454.551154	4134522554.55111534
'li'xian'tu'ling'ji	离线图灵机	413454.551154.259041.0169.1235	4134522554.55111534.25354441.5114334.123435
'li'zi	离子	413454.58	4134522554.521
'li'zi'zhen'dang	离子振荡	413454.58.101314.174453	4134522554.521.1211311534.122441533
'li'zi'ban	离子斑	413454.58.116611	4134522554.521.112141341121
'li'zi'shu'pao'guang	离子束抛光	413454.58.180234.103553.24135	4134522554.521.1251234.1213553.243135
'li'zi'shu'zheng'fa	离子束蒸发	413454.58.180234.175259.53544	4134522554.521.1251234.1225253414444.53544
'li'zi'shu'guang'ke	离子束光刻	413454.58.180234.24135.415332	4134522554.521.1251234.243135.41533422
'li'zi'shu'dian'ji	离子束淀积	413454.58.180234.444614.928034	4134522554.521.1251234.44144512134.3123425134
'li'zi'shu'wai'yan	离子束外延	413454.58.180234.9024.321554	4134522554.521.1251234.35424.321554
'li'zi'shu'du	离子束镀	413454.58.180234.914714	4134522554.521.1251234.31115413122154
'li'zi'sheng'ji'bo	离子声激波	413454.58.195213.443810.445324	4134522554.521.1215213.4413251141533134.44153254
'li'zi'tuan'shu'dian'ji	离子团束淀积	413454.58.251231.180234.444614.928034	4134522554.521.251231.1251234.44144512134.3123425134
'li'zi'tuan'shu'wai'yan	离子团束外延	413454.58.251231.180234.9024.321554	4134522554.521.251231.1251234.35424.321554
'li'zi'hui'xuan'gong'zhen'jia're	离子回旋共振加热	413454.58.25801.603108.1834.101314.5380.103549	4134522554.521.252511.41533152134.122134.1211311534.53251.1213544444
'li'zi'min'gan'qi	离子敏感器	413454.58.310690.131805.808010	4134522554.521.31554143134.1312515344544.2512511344251251
'li'zi'wei'fen'xi	离子微分析	413454.58.332010.3453.123312	4134522554.521.3322521353134.3453.12343312
'li'zi'guan	离子管	413454.58.374621	4134522554.521.31431444525151
'li'zi'ke'shi	离子刻蚀	413454.58.415332.3026	4134522554.521.41533422.355251214
'li'zi'yuan	离子源	413454.58.441334	4134522554.521.4411332511234
'li'zi'zhu'ru	离子注入	413454.58.44411.34	4134522554.521.44141121.34
'li'zi'zhu'ru'ji	离子注入机	413454.58.44411.34.1235	4134522554.521.44141121.34.123435
'li'zi'mo'xue	离子磨削	413454.58.471214.242512	4134522554.521.4131234123413251.243251122
'li'zi'xing'wu'ran	离子性污染	413454.58.49371.44115.443512	4134522554.521.44231121.441115.441351234
'li'zi'hong'ji	离子轰击	413454.58.775454.1120	4134522554.521.15125454.11252
'li'zi'jing'ti'ban'dao'ti	离子晶体半导体	413454.58.818181.32121.432.515124.32121	4134522554.521.251125112511.3212341.43112.515124.3212341
'li'zi'xi	离子铣	413454.58.913195	4134522554.521.31115312135
'li'zi'du	离子镀	413454.58.914714	4134522554.521.31115413122154
'li'xin'la'li	离心拉力	413454.65.1061.53	4134522554.4544.12141431.53
'li'xin'zhi'dong'qi	离心制动器	413454.65.311252.115453.808010	4134522554.4544.31125222.115453.2512511344251251
'li'xin'shi'yan	离心试验	413454.65.401124.503411	4134522554.4544.45112154.5513414431
'li'xin'tiao'su'qi	离心调速器	413454.65.403510.180234.808010	4134522554.4544.4535121251.1251234454.2512511344251251
'li'xin'li'he'qi	离心离合器	413454.65.413454.92.808010	4134522554.4544.4134522554.341251.2512511344251251
'li'xin'mi'feng	离心密封	413454.65.466520.191914	4134522554.4544.44545434252.121121124
'li'xin'ying'li	离心应力	413454.65.47641.53	4134522554.4544.4134431.53
'li'xin'li	离心力	413454.65.53	4134522554.4544.53
'li'xin'ye'lun	离心叶轮	413454.65.8012.773435	4134522554.4544.25112.15213435
'li'zhou'quan'xi'shu	离轴全息术	413454.7783.3411.38265.124	4134522554.152125121.341121.3251114544.12344
'li'he'qi	离合器	413454.92.808010	4134522554.341251.2512511344251251
'jing'mian'ji	净面积	413502.132521.928034	41355112.132522111.3123425134
'jing'he	净荷	413502.173212	41355112.1223212512
'jing'shi	净室	413502.461549	41355112.445154121
'jing'shi'ruan'jian'gong'cheng	净室软件工程	413502.461549.773534.3231.121.928011	41355112.445154121.15213534.323112.121.312342511121
'diao'luo'mo	凋落模	413510.174490.121784	4135121251.122441354251.12341222511134
'zi'xun'xi'tong	咨询系统	413530.403581.356234.554155	413534251.45352511.3554234.551415435
'ci'dong'zuo'han'shu	次动作函数	413534.115453.323121.524132.685990	413534.115453.3231211.52413452.4312345313134
'ci'ping'mian	次平面	413534.14312.132521	413534.14312.132522111
'ci'tong'bu'ceng	次同步层	413534.25180.21233.071154	413534.251251.2121233.5131154
'ci'di'gui'xing	次递归性	413534.435724.2301.49371	413534.4351523454.23511.44231121
'ci'mi'yue	次密钥	413534.466520.9136	413534.44545434252.311153511
'ci'ji'fu'she'ti	次级辐射体	413534.55354.771803.95124.32121	413534.551354.1521125125121.3251113124.3212341
'ci'ji'fu'she'qi	次级辐射器	413534.55354.771803.95124.808010	413534.551354.1521125125121.3251113124.2512511344251251
'ci'ji'dian'zi	次级电子	413534.55354.815.58	413534.551354.25115.521
'ci'ji'dian'zi'dao'dian	次级电子导电	413534.55354.815.58.515124.815	413534.551354.25115.521.515124.25115
'ci'ji'dian'zi'fa'she	次级电子发射	413534.55354.815.58.53544.95124	413534.551354.25115.521.53544.3251113124
'ci'zhan	次站	413534.612180	413534.4143121251
'zi'xun'xie'qu	资讯撷取	413538.40512.101988.7254	4135342534.45512.121121251132534.12211154
'zi'xun'jian'suo	资讯检索	413538.40512.123411.124554	4135342534.45512.12343414431.1245554234
'zi'yuan'gong'xiang	资源共享	413538.441334.1834.4158	4135342534.4411332511234.122134.41251521
'zi'yuan'gong'xiang'kong'zhi	资源共享控制	413538.441334.1834.4158.104631.311252	4135342534.4411332511234.122134.41251521.12144534121.31125222
'zi'yuan'chong'fu	资源重复	413538.441334.318121.318190	4135342534.4411332511234.312511211.312511354
'zi'yuan'fen'pei	资源分配	413538.441334.3453.75515	4135342534.4411332511234.3453.1253511515
'zi'yuan'fen'pei'biao	资源分配表	413538.441334.3453.75515.713534	4135342534.4411332511234.3453.1253511515.11213534
'zi'yuan'guan'li	资源管理	413538.441334.374621.118121	4135342534.4411332511234.31431444525151.11212511211
'zi'yuan'guan'li'cheng'xu	资源管理程序	413538.441334.374621.118121.928011.4754	4135342534.4411332511234.31431444525151.11212511211.312342511121.4135452
'zi'yuan'diao'du	资源调度	413538.441334.403510.471854	4135342534.4411332511234.4535121251.413122154
'zi'yuan'chi	资源池	413538.441334.44525	4135342534.4411332511234.441525
'zi'yuan'fa'xian'ji'zhi	资源发现机制	413538.441334.53544.112535.1235.311252	4135342534.4411332511234.53544.11212535.123435.31125222
'zi'yuan'zi'wang	资源子网	413538.441334.58.253434	4135342534.4411332511234.521.253434
'zi'liao'ku'shu'ju'ku	资料库数据库	413538.684412.4777.685990.100710.4777	4135342534.4312344412.4131512.4312345313134.12151312251.4131512
'zi'liao'yuan	资料员	413538.684412.8028	4135342534.4312344412.2512534
'zi'tai'kong'zhi	姿态控制	413539.134465.104631.311252	413534531.13444544.12144534121.31125222
'zi'tai'shi'bie	姿态识别	413539.134465.408034.805322	413534531.13444544.4525134.2515322
'ning'gu'dian	凝固点	413598.251281.218069	4135311345452134.25122511.212514444
'ning'yi'fan'du	凝逸反毒	413598.358034.3354.7106	4135311345452134.35251354454.3354.112155414
'ning'jie'xing'nian'zhuo'xing	凝结性粘着性	413598.551980.49371.682180.4382.49371	4135311345452134.551121251.44231121.43123421251.43111325111.44231121
'ning'ju	凝聚	413598.725434	4135311345452134.12211154323334
'liang'er'cu'cao	亮而粗糙	414535.132522.6827.683194	412514535.132522.43123425111.4312343121251454
'liang'qi'mo	亮漆膜	414535.441234.361784	412514535.44112343424134.35111222511134
'liang'du	亮度	414535.471854	412514535.413122154
'liang'du'bi	亮度比	414535.471854.1535	412514535.413122154.1535
'liang'du'wen'du	亮度温度	414535.471854.448184.471854	412514535.413122154.441251125221.413122154
'hao'mi'bo	毫米波	414567.68.445324	41251453115.431234.44153254
'hao'mi'bo'tong'xin	毫米波通信	414567.68.445324.542514.3240	41251453115.431234.44153254.5425112454.324111251
'feng'mo'xing	冯模型	4150.121784.113229	41551.12341222511134.113222121
'feng'nuo'yi'man	冯诺依曼	4150.401710.324134.818454	41551.4512213251.32413534.25112522154
'jue'ce	决策	415134.371254	415134.314314125234
'jue'ce'kong'zhi	决策控制	415134.371254.104631.311252	415134.314314125234.12144534121.31125222
'jue'ce'gui'ze	决策规则	415134.371254.113425.2822	415134.314314125234.11342535.253422
'jue'ce'mo'xing	决策模型	415134.371254.121784.113229	415134.314314125234.12341222511134.113222121
'jue'ce'guo'cheng	决策过程	415134.371254.124454.928011	415134.314314125234.124454.312342511121
'jue'ce'zhi'chi'xi'tong	决策支持系统	415134.371254.1254.101914.356234.554155	415134.314314125234.1254.121121124.3554234.551415435
'jue'ce'zhi'chi'zhong'xin	决策支持中心	415134.371254.1254.101914.802.65	415134.314314125234.1254.121121124.2512.4544
'jue'ce'shu	决策树	415134.371254.125414	415134.314314125234.123454124
'jue'ce'shu'xi'tong	决策树系统	415134.371254.125414.356234.554155	415134.314314125234.123454124.3554234.551415435
'jue'ce'zhi'ding	决策制定	415134.371254.311252.461214	415134.314314125234.31125222.44512134
'jue'ce'ji'hua	决策计划	415134.371254.4012.153422	415134.314314125234.4512.153422
'jue'ce'yu'ju	决策语句	415134.371254.401250.3580	415134.314314125234.451251251.35251
'jue'ce'lun	决策论	415134.371254.403435	415134.314314125234.453435
'jue'ce'zhun'ze	决策准则	415134.371254.413241.2822	415134.314314125234.4132411121.253422
'jue'ce'wen'ti	决策问题	415134.371254.4280.811218	415134.314314125234.425251.251112134132534
'jue'ce'kong'jian	决策空间	415134.371254.463411.4281	415134.314314125234.44534121.4252511
'jue'ce'han'shu	决策函数	415134.371254.524132.685990	415134.314314125234.52413452.4312345313134
'jue'ce'biao	决策表	415134.371254.713534	415134.314314125234.11213534
'jue'ce'ju'zhen	决策矩阵	415134.371254.941515.5277	415134.314314125234.311341515.521512
'jue'duan'gao'du	决断高度	415134.685332.412580.471854	415134.43123453312.4125125251.413122154
'ke'mian	刻面	415332.132521	41533422.132522111
'ke'shi	刻蚀	415332.3026	41533422.355251214
'ke'shi'ji	刻蚀剂	415332.3026.663222	41533422.355251214.41343222
'chong'ye'lv	充液率	415435.444134.415642	415435.44141323544.41554413412
'chong'ye'liang	充液量	415435.444134.811811	415435.44141323544.251112511211
'chong'qi'zheng'liu'guan	充气整流管	415435.67.180231.444155.374621	415435.3115.1251234313412121.4414154325.31431444525151
'chong'qi'guan	充气管	415435.67.374621	415435.3115.31431444525151
'chong'qi'fa	充气阀	415435.67.423214	415435.3115.425321534
'chong'dian	充电	415435.815	415435.25115
'chong'dian'jie'shou'neng'li	充电接收能力	415435.815.106159.5290.542515.53	415435.25115.12141431531.523134.5425113535.53
'chong'dian'bao'chi'neng'li	充电保持能力	415435.815.328012.101914.542515.53	415435.25115.322511234.121121124.5425113535.53
'chong'dian'xiao'lv	充电效率	415435.815.663490.415642	415435.25115.4134343134.41554413412
'ye'jin'ji'gui	冶金级硅	415480.91.55354.141919	4154251.34112431.551354.13251121121
'xuan'wu'cheng'xu	玄务程序	4156.9053.928011.4754	41554.35453.312342511121.4135452
'lv'shi'zhen'li'lun	率失真理论	415642.31134.122734.118121.403435	41554413412.31134.1225111134.11212511211.453435
'lv'shi'zhen'han'shu	率失真函数	415642.31134.122734.524132.685990	41554413412.31134.1225111134.52413452.4312345313134
'mang'da	盲打	41582.1012	41525111.12112
'mang'xiang	盲相	41582.1282	41525111.123425111
'mang'su	盲速	41582.180234	41525111.1251234454
'mang'jun'heng	盲均衡	41582.193541.333582	41525111.1213541.3323525121134112
'mang'qian	盲签	41582.373411	41525111.3143143414431
'mang'kong	盲孔	41582.585	41525111.5215
'mang'mu'sou'suo	盲目搜索	41582.82.109724.124554	41525111.25111.121321511254.1245554234
'chong'ji'sun'shi	冲击损失	41802.1120.108028.31134	412512.11252.1212512534.31134
'chong'ji'yun'dong	冲击运动	41802.1120.115444.115453	412512.11252.1154454.115453
'chong'ji'mai'chong	冲击脉冲	41802.1120.364554.41802	412512.11252.351145534.412512
'chong'ji'mai'chong'chi'xu'shi'jian	冲击脉冲持续时间	41802.1120.364554.41802.101914.551254.81124.4281	412512.11252.351145534.412512.121121124.55112544134.2511124.4252511
'chong'ji'mai'chong'de'biao'cheng'zhi	冲击脉冲的标称值	41802.1120.364554.41802.381354.121124.923524.321227	412512.11252.351145534.412512.32511354.123411234.3123435234.3212251111
'chong'ji'shi'yan	冲击试验	41802.1120.401124.503411	412512.11252.45112154.5513414431
'chong'ji'pu	冲击谱	41802.1120.404311	412512.11252.45431224312511
'chong'ji'jin'shi	冲击浸蚀	41802.1120.440145.3026	412512.11252.4415114554.355251214
'chong'ji'ji'li	冲击激励	41802.1120.443810.131533	412512.11252.4413251141533134.1315353
'chong'ji'bo	冲击波	41802.1120.445324	412512.11252.44153254
'chong'ji'xiang'ying'pu	冲击响应谱	41802.1120.803250.47641.404311	412512.11252.251325251.4134431.45431224312511
'chong'ji'dian'liu'ji	冲击电流计	41802.1120.815.444155.4012	412512.11252.25115.4414154325.4512
'chong'ya'fang'luo'mu	冲压方螺母	41802.13194.60.268354.06	412512.131214.4153.25121425121554234.55414
'chong'jiao	冲角	41802.35	412512.3535112
'chong'ji'bu'bian'fa	冲激不变法	41802.443810.1324.6654.441954	412512.4413251141533134.1324.41223454.44112154
'chong'ji'lei'da	冲激雷达	41802.443810.1683.134454	412512.4413251141533134.1452444425121.134454
'chong'ji'xiang'ying	冲激响应	41802.443810.803250.47641	412512.4413251141533134.251325251.4134431
'chong'dan'bi	冲淡比	41802.446969.1535	412512.44143344334.1535
'chong'tu	冲突	41802.463414	412512.445341344
'chong'tu'jian'ce	冲突检测	41802.463414.123411.442822	412512.445341344.12343414431.441253422
'chong'tu'jian'bie	冲突鉴别	41802.463414.223141.805322	412512.445341344.2231434112431.2515322
'chong'tu'ji	冲突集	41802.463414.324172	412512.445341344.324111211234
'chong'tu'xiang'liang	冲突向量	41802.463414.32580.811811	412512.445341344.325251.251112511211
'chong'tu'tiao'jie	冲突调解	41802.463414.403510.355331	412512.445341344.4535121251.3535112533112
'chong'tu'xiao'jie	冲突消解	41802.463414.442421.355331	412512.445341344.4412432511.3535112533112
'chong'tu'jie'gou	冲突结构	41802.463414.551980.123554	412512.445341344.551121251.12343554
'chong'chuang	冲床	41802.4712	412512.4131234
'chong'kong'mian	冲孔面	41802.585.132521	412512.5215.132522111
'chong'li	冲力	41802.53	412512.53
'chong'liang	冲量	41802.811811	412512.251112511211
'men'kong'ji'fen'qi	门控积分器	42.104631.928034.3453.808010	425.12144534121.3123425134.3453.2512511344251251
'men'chuan'shu'yan'chi	门传输延迟	42.321154.773412.321554.074454	425.321154.1521341251122.321554.5134454
'men'yan'chi	门延迟	42.321554.074454	425.321554.5134454
'men'hai	门海	42.443106	425.4413155414
'men'zhen'lie	门阵列	42.5277.1322	425.521512.135422
'men'zhen'lie'fa	门阵列法	42.5277.1322.441954	425.521512.135422.44112154
'shuan'suo'xiao'ying	闩锁效应	421.912428.663490.47641	4251.311152432534.4134343134.4134431
'xian'zhi'shi'jian	闲置时间	4212.841227.81124.4281	4251234.2522112251111.2511124.4252511
'bi'huan	闭环	42123.111324	425123.11211324
'bi'huan'kong'zhi	闭环控制	42123.111324.104631.311252	425123.11211324.12144534121.31125222
'bi'huan'kong'zhi'xi'tong	闭环控制系统	42123.111324.104631.311252.356234.554155	425123.11211324.12144534121.31125222.3554234.551415435
'bi'huan'dai'kuan	闭环带宽	42123.111324.122245.461725	425123.11211324.122245252.4451222535
'bi'huan'pin'lv'xiang'ying	闭环频率响应	42123.111324.212338.415642.803250.47641	425123.11211324.2121233132534.41554413412.251325251.4134431
'bi'shi'yun'dong'lian	闭式运动链	42123.112154.115444.115453.917744	425123.112154.1154454.115453.311151512454
'bi'shi'wang'luo	闭式网络	42123.112154.253434.559080	425123.112154.253434.551354251
'bi'shi'lian	闭式链	42123.112154.917744	425123.112154.311151512454
'bi'xing'zhou'cheng	闭型轴承	42123.113229.7783.581154	425123.113222121.152125121.52111534
'bi'bao	闭包	42123.35515	425123.35515
'bi'guan'zhen'kong'kuo'san	闭管真空扩散	42123.374621.122734.463411.1047.182510	425123.31431444525151.1225111134.44534121.121413.122125113134
'bi'suo'shi'ye'li'ou'he'qi	闭锁式液力偶合器	42123.912428.112154.444134.53.328124.92.808010	425123.311152432534.112154.44141323544.53.32251125214.341251.2512511344251251
'bi'suo'ye'li'bian'ju'qi	闭锁液力变矩器	42123.912428.444134.53.6654.941515.808010	425123.311152432534.44141323544.53.41223454.311341515.2512511344251251
'bi'lian'ji'gou	闭链机构	42123.917744.1235.123554	425123.311151512454.123435.12343554
'bi'he'shi	闭合式	42123.92.112154	425123.341251.112154
'bi'he'yong'hu'qun	闭合用户群	42123.92.35112.407.013802	425123.341251.35112.4513.5113251431112
'bi'he'li	闭合力	42123.92.53	425123.341251.53
'yu'tan'ce'qi	阈探测器	421804.104532.442822.808010	42512511534.12145341234.441253422.2512511344251251
'yu'xia'xin'dao	阈下信道	421804.124.3240.431384	42512511534.124.324111251.431325111454
'yu'zhi'sou'suo	阈值搜索	421804.321227.109724.124554	42512511534.3212251111.121321511254.1245554234
'yu'zhi'bo'chang	阈值波长	421804.321227.445324.3154	42512511534.3212251111.44153254.3154
'yu'zhi'dian'ya	阈值电压	421804.321227.815.13194	42512511534.3212251111.25115.131214
'yu'zhi'dian'liu	阈值电流	421804.321227.815.444155	42512511534.3212251111.25115.4414154325
'yu'zhi'luo'ji	阈值逻辑	421804.321227.849044.778072	42512511534.3212251111.25221354454.1521251122111
'yu'yi'ma	阈译码	421804.405412.1450	42512511534.4554112.13251551
'yu'dian'liu'mi'du	阈电流密度	421804.815.444155.466520.471854	42512511534.25115.4414154325.44545434252.413122154
'yu'luo'ji'dian'lu	阈逻辑电路	421804.849044.778072.815.299080	42512511534.25221354454.1521251122111.25115.2512121354251
'shan'zheng'xian'xiang	闪蒸现象	4234.175259.112535.358034	42534.1225253414444.11212535.35251353334
'shan'su'cun'chu'qi	闪速存储器	4234.180234.13258.324011.808010	42534.1251234454.132521.324512132511.2512511344251251
'shan'you'di'dai	闪游地带	4234.446038.19525.122245	42534.441415331521.121525.122245252
'shan'shuo	闪烁	4234.693524	42534.433435234
'shan'shuo'tan'ce'qi	闪烁探测器	4234.693524.104532.442822.808010	42534.433435234.12145341234.441253422.2512511344251251
'shan'shuo'zheng'bi'tan'ce'qi	闪烁正比探测器	4234.693524.121.1535.104532.442822.808010	42534.433435234.12121.1535.12145341234.441253422.2512511344251251
'shan'shuo'cun'chu'qi	闪烁存储器	4234.693524.13258.324011.808010	42534.433435234.132521.324512132511.2512511344251251
'shan'shuo'ti	闪烁体	4234.693524.32121	42534.433435234.3212341
'shan'shuo'ti'rong'ye	闪烁体溶液	4234.693524.32121.444693.444134	42534.433435234.3212341.4414453434251.44141323544
'shan'shuo'pu'yi	闪烁谱仪	4234.693524.404311.32434	42534.433435234.45431224312511.32434
'shan'shuo'wu'cha	闪烁误差	4234.693524.408014.43121	42534.433435234.452511134.431113121
'shan'shuo'zao'sheng	闪烁噪声	4234.693524.808082.195213	42534.433435234.2512512512511234.1215213
'yue'du'shi'yan'shi	阅读实验室	424385.401254.464414.503411.461549	4254325135.4512544134.44544134.5513414431.445154121
'yue'du'qi'she'zhi	阅读器设置	424385.401254.808010.403554.841227	4254325135.4512544134.2512511344251251.453554.2522112251111
'wen'da'xi'tong	问答系统	4280.3792.356234.554155	425251.314314341251.3554234.551415435
'wen'ti'bao'gao	问题报告	4280.811218.105254.31980	425251.251112134132534.1215254.3121251
'wen'ti'qiu'jie	问题求解	4280.811218.124134.355331	425251.251112134132534.1241344.3535112533112
'wen'ti'qiu'jie'xi'tong	问题求解系统	4280.811218.124134.355331.356234.554155	425251.251112134132534.1241344.3535112533112.3554234.551415435
'wen'ti'gui'yue	问题归约	4280.811218.2301.55354	425251.251112134132534.23511.551354
'wen'ti'hui'da'xi'tong	问题回答系统	4280.811218.25801.3792.356234.554155	425251.251112134132534.252511.314314341251.3554234.551415435
'wen'ti'chong'gou	问题重构	4280.811218.318121.123554	425251.251112134132534.312511211.12343554
'wen'ti'zhen'duan	问题诊断	4280.811218.403433.685332	425251.251112134132534.4534333.43123453312
'wen'ti'zhuang'tai	问题状态	4280.811218.412134.134465	425251.251112134132534.4121344.13444544
'wen'ti'kong'jian	问题空间	4280.811218.463411.4281	425251.251112134132534.44534121.4252511
'wen'ti'chen'shu'yu'yan	问题陈述语言	4280.811218.521524.124454.401250.40	425251.251112134132534.5215234.12344454.451251251.4111251
'jian'jie'xun'zhi	间接寻址	4281.106159.01124.1921	4252511.12141431531.511124.1212121
'jian'jie'dai'xi'ban'dao'ti	间接带隙半导体	4281.106159.122245.522344.432.515124.32121	4252511.12141431531.122245252.522342511234.43112.515124.3212341
'jian'jie'di'zhi	间接地址	4281.106159.19525.1921	4252511.12141431531.121525.1212121
'jian'jie'fu'he	间接复合	4281.106159.318190.92	4252511.12141431531.312511354.341251
'jian'xie'yi	间协议	4281.125344.40434	4252511.125344.45434
'jian'ju	间距	4281.291515	4252511.25121211515
'jian'jin'shi'yan	间浸试验	4281.440145.401124.503411	4252511.4415114554.45112154.5513414431
'jian'ge'biao'zhun	间隔标准	4281.521802.121124.413241	4252511.521251254312.123411234.4132411121
'jian'ge'zhen	间隔帧	4281.521802.252128	4252511.521251254312.252212534
'jian'ge'ji'shi'qi	间隔计时器	4281.521802.4012.81124.808010	4252511.521251254312.4512.2511124.2512511344251251
'jian'ge'gang'qiu	间隔钢球	4281.521802.912534.111244	4252511.521251254312.311152534.11211241344
'jian'xi	间隙	4281.522344	4252511.522342511234
'jian'xi'kuo'san	间隙扩散	4281.522344.1047.182510	4252511.522342511234.121413.122125113134
'jian'xi'kong'cheng	间隙空程	4281.522344.463411.928011	4252511.522342511234.44534121.312342511121
'jian'xi'pei'he	间隙配合	4281.522344.75515.92	4252511.522342511234.1253511515.341251
'jian'fa'cuo'wu	间发错误	4281.53544.911881.408014	4252511.53544.3111512212511.452511134
'jian'duan'guan'cha	间断观察	4281.685332.542535.469014	4252511.43123453312.542535.44535445411234
'jian'xie'zhen'dang'qi	间歇振荡器	4281.813534.101314.174453.808010	4252511.2511353453534.1211311534.122441533.2512511344251251
'jian'xie'yun'dong'ji'gou	间歇运动机构	4281.813534.115444.115453.1235.123554	4252511.2511353453534.1154454.115453.123435.12343554
'jian'xie'yun'dong'lian'gan'ji'gou	间歇运动连杆机构	4281.813534.115444.115453.77454.12112.1235.123554	4252511.2511353453534.1154454.115453.1512454.1234112.123435.12343554
'jian'xie'gu'zhang	间歇故障	4281.813534.128090.526182	4252511.2511353453534.122513134.5241431251112
'jian'xie'run'hua	间歇润滑	4281.813534.444211.4485	4252511.2511353453534.4414251121.441255452511
'jian'xie'fang'dian	间歇放电	4281.813534.6090.815	4252511.2511353453534.41533134.25115
'zha'dai'li'he'qi	闸带离合器	4283.122245.413454.92.808010	42525112.122245252.4134522554.341251.2512511344251251
'zha'kuai	闸块	4283.195134	42525112.1215134
'zha'kuai'zhi'dong'qi	闸块制动器	4283.195134.311252.115453.808010	42525112.1215134.31125222.115453.2512511344251251
'zha'kuai'li'he'qi	闸块离合器	4283.195134.413454.92.808010	42525112.1215134.4134522554.341251.2512511344251251
'zha'fa	闸阀	4283.423214	42525112.425321534
'zha'liu'guan	闸流管	4283.444155.374621	42525112.4414154325.31431444525151
'zha'wa'zhi'dong'qi	闸瓦制动器	4283.79.311252.115453.808010	42525112.1554.31125222.115453.2512511344251251
'lan'mu'ao'xian	兰姆凹陷	431.5906.25251.523597	43111.53155414.25251.5235321511
'lan'mu'xiao'zao'dian'lu	兰姆消噪电路	431.5906.442421.808082.815.299080	43111.53155414.4412432511.2512512512511234.25115.2512121354251
'jian'rong'ji'zhi	兼容机制	431014.4693.1235.311252	4315112234.4453434251.123435.31125222
'jian'rong'ji'suan'ji	兼容计算机	431014.4693.4012.378212.1235	4315112234.4453434251.4512.31431425111132.123435
'jian'rong'zi'fu	兼容字符	431014.4693.4658.373214	4315112234.4453434251.445521.31431432124
'jian'rong'xing	兼容性	431014.4693.49371	4315112234.4453434251.44231121
'mei'ya'jun'shi	美亚军事	431114.122.4577.180012	431121134.122431.451512.12515112
'mei'li'xiu	美丽秀	431114.125424.9253	431121134.1254254.3123453
'mei'guo	美国	431114.251141	431121134.25112141
'mei'guo'wei'ruan'gong'si	美国微软公司	431114.251141.332010.773534.3454.5180	431121134.25112141.3322521353134.15213534.3454.51251
'gai'xing'bo'luo'mu	盖形薄螺母	431184.113233.174414.268354.06	43112125221.1132333.1224411251124124.25121425121554234.55414
'gai'xing'luo'mu	盖形螺母	431184.113233.268354.06	43112125221.1132333.25121425121554234.55414
'gai'ge	盖革	431184.18	43112125221.122125112
'gai'xie	盖写	431184.45151	43112125221.45151
'cha're'fen'xi	差热分析	43121.103549.3453.123312	431113121.1213544444.3453.12343312
'cha'jie'bian'liang'qi	差接变量器	43121.106159.6654.811811.808010	431113121.12141431531.41223454.251112511211.2512511344251251
'cha'dong'ji'gou	差动机构	43121.115453.1235.123554	431113121.115453.123435.12343554
