君士坦丁堡	01380.19.19811.12.328019
伊斯兰教圣墓	32013.7033.43.1935.5419.178119
伊斯兰教圣墓	32013.7033.43.193580.5419.178119
伊斯兰堡	32013.7033.43.328019
伊斯法罕王侯广场	32013.7033.44.45112.11.32519.47.1953
伊斯法罕王侯广场	32013.7033.441954.45112.11.325194.47.19533
伊泰普水电站	32013.732.4322.253.815.612
伊泰普水电站	32013.732414.432281.2534.815.612180
伊哈	32013.809
伊哈	32013.8094
伊明赫姆船坞	32013.8136.193234.5906.93.19355
伊明赫姆船坞	32013.8136.193234.5906.933580.193551
伊多夏国家公园	32013.909.1382.2.46.3454.251
伊多夏国家公园	32013.9090.138290.251141.4613.3454.251131
伊钱卡拉	32013.911.2124.1061
伊钱卡拉	32013.911154.2124.1061
伊利诺伊州	32013.922.40173.32013.4342
伊利诺伊州	32013.9222.401710.32013.434242
伊利昂	32013.922.81355
伊利昂	32013.9222.813552
伊犁惠远古城	32013.92223.18121.11354.1280.1913
伊犁惠远古城	32013.922231.181215.113544.1280.191354
伊犁将军府	32013.92223.4129.45.4732
伊犁将军府	32013.922231.412904.4577.473214
伊犁州博物馆	32013.92223.4342.121254.313.304
伊犁州博物馆	32013.922231.434242.121254.313533.304621
伊犁河	32013.92223.441
伊犁河	32013.922231.441802
伊犁河大桥	32013.92223.441.134.129
伊犁河大桥	32013.922231.441802.134.129432
伊岛	32013.962
伊岛	32013.9620
假日海滩	320.81.4431.44543
假日海滩	3207.81.443106.445431
仁川	3211.322
仁寿殿	3211.731.07183
仁寿殿	3211.73124.071834
仁寿山公园	3211.731.20.3454.251
仁寿山公园	3211.73124.20.3454.251131
什切青	3212.1553.71
什切青	3212.1553.712511
什刹海	3212.34122.4431
什刹海	3212.341222.443106
休斯敦	3212.7033.41589
休斯敦	3212.7033.415890
岳王墓庙	982.11.178119.478
岳王墓庙	9820.11.178119.4783
岳王庙	982.11.478
岳王庙	9820.11.4783
岳麓书院	982.121247.5524.524
岳麓书院	9820.121247.5524.524615
岳亿公文包	982.325.3454.66.355
岳亿公文包	9820.325.3454.66.35515
岳庙	982.478
岳庙	9820.4783
岳阳楼	982.528.126
岳阳楼	9820.5281.126859
邱良功母节孝坊	985.403.12153.06.1752.19358.1960
邱良功母节孝坊	9852.403.12153.06.1752.19358.1960
兵沟旅游区	9834.44355.603.446.1345
兵沟旅游区	9834.443554.603134.446038.1345
兵库	9834.477
兵库	9834.4777
兵马俑	9834.50.32542
兵马俑	9834.50.325422
伍仁桥	321251.3211.129
伍仁桥	321251.3211.129432
佐治亚州	32131.445.122.4342
佐治亚州	321311.445480.122.434242
佐贺	32131.53802
佐贺	321311.538028
伏龙观	321344.13534.5425
伏龙观	321344.13534.542535
伏羲庙	321344.431194.478
伏羲庙	321344.431194.4783
佑顺寺	32138.3221.19124
佑顺寺	321380.322138.19124
代木	32154.12
代芬特尔	32154.173453.3119.3523
代芬特尔	32154.173453.311914.35234
岱顶	321540.12132
岱顶	321540.121328
岱仙山	321540.3220.20
岱仙瀑布	321540.3220.448114.1325
岱道庵	321540.4338.471345
岱道庵	321540.433824.471345
岱宗坊	321540.46112.1960
岱宗坊	321540.461124.1960
岱庙	321540.478
岱庙	321540.4783
倒淌河	3215.44248.441
倒淌河	321542.442480.441802
延布	32155.1325
延布	321554.1325
延平郡王祠	32155.143.013805.11.6251
延平郡王祠	321554.1432.013805.11.625180
延安	32155.465
延安	321554.4659
延庆寺大佛殿	32155.471.19124.134.3257.07183
延庆寺大佛殿	321554.47134.19124.134.325732.071834
延陵季子墓碑	32155.5219.9258.58.178119.1438
延陵季子墓碑	321554.521930.9258.58.178119.143812
延福寺	32155.621.19124
延福寺	321554.621803.19124
佳特土	3219.3119.19
佳特土	321919.311914.19
川圹	322.1947
川崎	322.20134
川崎	322.201342
仙枕石	3220.12453.14
仙枕石	3220.124535.14
仙堂寺	3220.2419.19124
仙水岩	3220.253.2014
仙水岩	3220.2534.2014
仙公山	3220.3454.20
仙翁庙	3220.34540.478
仙翁庙	3220.345404.4783
仙湖植物园	3220.44128.12122.313.251
仙湖植物园	3220.441286.121227.313533.251131
仙安石林	3220.465.14.1212
仙安石林	3220.4659.14.1212
仙乃日	3220.53.81
仙叠岩	3220.545.2014
仙叠岩	3220.545457.2014
仙景台	3220.814.548
仙景台	3220.814124.5480
侗寨鼓楼	32251.467812.791.126
侗寨鼓楼	322510.467812.791254.126859
候潮门	3225.441286.42
候潮门	322514.441286.42
俄克拉何马州	323124.12803.1061.32180.50.4342
俄克拉何马州	323124.128035.1061.321802.50.434242
俄勒冈州	323124.1853.2534.4342
俄勒冈州	323124.1853.2534.434242
俄贤岭	323124.22542.203
俄贤岭	323124.225428.203444
俄亥俄州	323124.415334.323124.4342
俄亥俄州	323124.415334.323124.434242
俄罗斯	323124.849.7033
俄罗斯	323124.8490.7033
伦敦	32343.41589
伦敦	323435.415890
伦敦大本钟	32343.41589.134.121.918
伦敦大本钟	323435.415890.134.121.91802
伦敦塔桥	32343.41589.1917.129
伦敦塔桥	323435.415890.191794.129432
伦敦德里	32343.41589.3312.812
伦敦德里	323435.415890.331285.81211
华严寺壁藏	32351.1223.19124.0719.17135
华严寺壁藏	323512.1223.19124.0719.171354
华严寺壁画	32351.1223.19124.0719.183
华严寺壁画	323512.1223.19124.0719.18352
华严寺大雄宝殿	32351.1223.19124.134.13543.4611.07183
华严寺大雄宝殿	323512.1223.19124.134.135431.46114.071834
华严寺薄伽教藏殿	32351.1223.19124.17441.32538.1935.17135.07183
华严寺薄伽教藏殿	323512.1223.19124.174414.325380.193580.171354.071834
华严寺塑像	32351.1223.19124.43523.32358
华严寺塑像	323512.1223.19124.435239.323584
华严寺辽塑	32351.1223.19124.5245.43523
华严寺辽塑	323512.1223.19124.52454.435239
华严塔	32351.1223.1917
华严塔	323512.1223.191794
华盛顿	32351.13553.1525
华盛顿	323512.135534.152518
华盛顿州	32351.13553.1525.4342
华盛顿州	323512.135534.152518.434242
华夏珍奇艺术城	32351.1382.11343.13418.175.124.1913
华夏珍奇艺术城	323512.138290.113433.134182.175.124.191354
华东五市	32351.152.1251.4125
华东五市	323512.15234.1251.4125
华山	32351.20
华山	323512.20
华北军区烈士陵园	32351.211.45.1345.13226.19.5219.251
华北军区烈士陵园	323512.21135.4577.1345.132269.19.521930.251131
华伦墓	32351.32343.178119
华伦墓	323512.323435.178119
华泉	32351.3812
华泉	323512.381254
华沙	32351.442
华沙	323512.442343
华沙古城	32351.442.1280.1913
华沙古城	323512.442343.1280.191354
华清池	32351.4471.4452
华清池	323512.447121.44525
华富里	32351.4618.812
华富里	323512.461803.81211
佩雷拉雪兹神父公墓	323515.1683.1061.160.43565.6283.34.3454.178119
佩雷拉雪兹神父公墓	323515.1683.1061.1601.435656.6283.34.3454.178119
佩特拉古城	323515.3119.1061.1280.1913
佩特拉古城	323515.311914.1061.1280.191354
佩马加策尔	323515.50.538.37125.3523
佩马加策尔	323515.50.5380.371254.35234
佩纳城堡	323515.5525.1913.328019
佩纳城堡	323515.552534.191354.328019
仰天湖	32355.1134.44128
仰天湖	323552.1134.441286
仰光	32355.24
仰光	323552.2435
伯尼	32381.0735
伯肯黑德	32381.2125.86.3312
伯肯黑德	32381.212511.86.331285
伯贝拉	32381.28.1061
伯德岛	32381.3312.962
伯德岛	32381.331285.9620
伯尔尼	32381.3523.0735
伯尔尼	32381.35234.0735
伯尔尼旧城	32381.3523.0735.281.1913
伯尔尼旧城	32381.35234.0735.281.191354
伯方	32381.60
伯明翰	32381.8136.128114
伯利兹	32381.922.43565
伯利兹	32381.9222.435656
伯利兹堡礁保护区	32381.922.43565.328019.14324.3280.1067.1345
伯利兹堡礁保护区	32381.9222.435656.328019.143249.328012.1067.1345
伯利兹市	32381.922.43565.4125
伯利兹市	32381.9222.435656.4125
伯利恒	32381.922.49181
伯利恒	32381.9222.491811
信义坊	3240.434.1960
储秀官	32401.9253.462
储秀官	324011.9253.462511
偏脸城	3267.3634.1913
偏脸城	326727.363414.191354
依里索斯河	32413.812.1245.7033.441
依里索斯河	324134.81211.124554.7033.441802
焦亚陶罗	324719.122.52359.849
焦亚陶罗	324719.122.523592.8490
焦山	324719.20
焦山抗英炮台遗址	324719.20.1041.172.693.548.80212.1921
焦山抗英炮台遗址	324719.20.104135.172514.693555.5480.802124.1921
焦山碑刻	324719.20.1438.41533
焦山碑刻	324719.20.143812.415332
焦庄户地道战遗址	324719.4719.67.195.4338.2180.80212.1921
焦庄户地道战遗址	324719.4719.67.19525.433824.218014.802124.1921
伪满皇宫	32435.4417.38111.4680
伪满皇宫	324354.441714.38111.468080
伪满洲国皇宫	32435.4417.44434.2.38111.4680
伪满洲国皇宫	324354.441714.444342.251141.38111.468080
侯爵歌剧院	32519.398.18021.07128.524
侯爵歌剧院	325194.398404.180214.071282.524615
侯马晋国遗址	32519.50.1228.2.80212.1921
侯马晋国遗址	325194.50.12281.251141.802124.1921
奥林匹亚遗址	3256.1212.1355.122.80212.1921
奥林匹亚遗址	325684.1212.1355.122.802124.1921
奥林匹克国家公园	3256.1212.1355.12803.2.46.3454.251
奥林匹克国家公园	325684.1212.1355.128035.251141.4613.3454.251131
奥林波斯	3256.1212.4453.7033
奥林波斯	325684.1212.445324.7033
奥博克地区	3256.121254.12803.195.1345
奥博克地区	325684.121254.128035.19525.1345
奥古塔湖	3256.1280.1917.44128
奥古塔湖	325684.1280.191794.441286
奥克兰	3256.12803.43
奥克兰	325684.128035.43
奥胡斯	3256.128036.7033
奥胡斯	325684.128036.7033
奥霍努阿	3256.1632.5954.5218
奥霍努阿	325684.163241.595453.521802
奥勒松	3256.1853.1234
奥勒松	325684.1853.123454
奥赫里德湖	3256.193234.812.3312.44128
奥赫里德湖	325684.193234.81211.331285.441286
奥地利	3256.195.922
奥地利	325684.19525.9222
奥卢	3256.210
奥卢	325684.2107
奥卡万戈内陆三角洲	3256.2124.153.1534.2534.5211.111.35.44434
奥卡万戈内陆三角洲	325684.2124.153.1534.2534.521120.111.35.444342
奥什	3256.3212
奥什	325684.3212
奥依塔克森林公园	3256.32413.1917.12803.121212.1212.3454.251
奥依塔克森林公园	325684.324134.191794.128035.121212.1212.3454.251131
奥得河	3256.338.441
奥得河	325684.338114.441802
奥尔胡斯	3256.3523.128036.7033
奥尔胡斯	325684.35234.128036.7033
奥尔堡	3256.3523.328019
奥尔堡	325684.35234.328019
奥尔马拉	3256.3523.50.1061
奥尔马拉	325684.35234.50.1061
奥尔迪诺	3256.3523.8345.40173
奥尔迪诺	325684.35234.83454.401710
奥腊涅斯塔德	3256.3618.448119.7033.1917.3312
奥腊涅斯塔德	325684.361881.448119.7033.191794.331285
奥朗日古罗马剧院	3256.40336.81.1280.849.50.07128.524
奥朗日古罗马剧院	325684.40336.81.1280.8490.50.071282.524615
奥兰	3256.43
奥兰	325684.43
奥兰群岛	3256.43.0138.962
奥兰群岛	325684.43.013802.9620
奥普兰	3256.4322.43
奥普兰	325684.432281.43
奥文多	3256.66.909
奥文多	325684.66.9090
奥基	3256.701
奥基	325684.7019
奥斯陆	3256.7033.5211
奥斯陆	325684.7033.521120
奥斯陆佛洛格纳公园	3256.7033.5211.3257.4490.1290.5525.3454.251
奥斯陆佛洛格纳公园	325684.7033.521120.325732.449080.129080.552534.3454.251131
奥西耶克	3256.74.7252.12803
奥西耶克	325684.74.7252.128035
奥哈里亚	3256.809.812.122
奥哈里亚	325684.8094.81211.122
奥果韦河原始森林	3256.8112.1152.441.133.59548.121212.1212
奥果韦河原始森林	325684.8112.1152.441802.133814.595480.121212.1212
粤军阵亡烈士墓	32568.45.527.415.13226.19.178119
粤军阵亡烈士墓	325685.4577.5277.415.132269.19.178119
佛蒙特州	3257.17451.3119.4342
佛蒙特州	325732.174513.311914.434242
佛国寺	3257.2.19124
佛国寺	325732.251141.19124
佛得角	3257.338.35
佛得角	325732.338114.35
佛官寺释迦塔	3257.462.19124.3685.538044.1917
佛官寺释迦塔	325732.462511.19124.368542.538044.191794
佛里曼特尔	3257.812.8184.3119.3523
佛里曼特尔	325732.81211.818454.311914.35234
佛罗伦萨	3257.849.32343.17526
佛罗伦萨	325732.8490.323435.175263
佛罗伦萨古城	3257.849.32343.17526.1280.1913
佛罗伦萨古城	325732.8490.323435.175263.1280.191354
佛罗伦萨大教堂	3257.849.32343.17526.134.1935.2419
佛罗伦萨大教堂	325732.8490.323435.175263.134.193580.2419
佛罗伦萨学院美术馆	3257.849.32343.17526.64.524.431.124.304
佛罗伦萨学院美术馆	325732.8490.323435.175263.6458.524615.431114.124.304621
佛罗里达	3257.849.812.13445
佛罗里达	325732.8490.81211.134454
佛罗里达州	3257.849.812.13445.4342
佛罗里达州	325732.8490.81211.134454.434242
傲徕峰	3271.3316.209
傲徕峰	327150.33168.209071
保国寺	3280.2.19124
保国寺	328012.251141.19124
保卫和平石牌坊	3280.521.9.143.14.3238.1960
保卫和平石牌坊	328012.521.9280.1432.14.323812.1960
保加利亚	3280.538.922.122
保加利亚	328012.5380.9222.122
倭子坟	32925.58.1966
倭子坟	329259.58.1966
近园	334.251
近园	33454.251131
衙前基督教堂	33125.4325.701.875.1935.2419
衙前基督教堂	331252.432512.7019.875482.193580.2419
衙口施氏大宗祠	33125.80.6031.3515.134.46112.6251
衙口施氏大宗祠	331252.80.603155.3515.134.461124.625180
德天瀑布	3312.1134.448114.1325
德天瀑布	331285.1134.448114.1325
德班	3312.1143
德班	331285.114311
德夯	3312.13453
德夯	331285.13453
德雷达瓦	3312.1683.13445.79
德雷达瓦	331285.1683.134454.79
德山	3312.20
德山	331285.20
德国	3312.2
德国	331285.251141
德化陶瓷博物馆	3312.3235.52359.413539.121254.313.304
德化陶瓷博物馆	331285.3235.523592.413539.121254.313533.304621
德尔斐太阳神殿	3312.3523.2366.1344.528.6283.07183
德尔斐太阳神殿	331285.35234.2366.1344.5281.6283.071834
德尔斐遗址	3312.3523.2366.80212.1921
德尔斐遗址	331285.35234.2366.802124.1921
德尔马	3312.3523.50
德尔马	331285.35234.50
德胜门箭楼	3312.363.42.3743.126
德胜门箭楼	331285.36371.42.374322.126859
德基亚野生动物保护区	3312.701.122.8121.371.11545.313.3280.1067.1345
德基亚野生动物保护区	331285.7019.122.812114.371.115453.313533.328012.1067.1345
德里	3312.812
德里	331285.81211
德里亚斯特	3312.812.122.7033.3119
德里亚斯特	331285.81211.122.7033.311914
德黑兰	3312.86.43
德黑兰	331285.86.43
德和园	3312.9.251
德和园	331285.9280.251131
徳岛	331285.962
徳岛	331285.9620
彻奇尔	3315.13418.3523
彻奇尔	331553.134182.35234
后石坞	331.14.19355
后石坞	33180.14.193551
后土庙	331.19.478
后土庙	33180.19.4783
后召庙辽石窟寺	331.5380.478.5245.14.4607.19124
后召庙辽石窟寺	33180.5380.4783.52454.14.460702.19124
微山湖	3320.20.44128
微山湖	332010.20.441286
御码头	3331.1450.4413
御码头	333112.1450.44134
御徒町	3331.337.8312
御徒町	333112.3376.8312
须弥山石窟	333.5735.20.14.4607
须弥山石窟	333138.573524.20.14.460702
须弥福寿之庙	333.5735.621.731.454.478
须弥福寿之庙	333138.573524.621803.73124.454.4783
徐达墓	3334.13445.178119
徐达墓	333412.134454.178119
徐霞客墓	3334.1607.469.178119
徐霞客墓	333412.1607.469080.178119
徐光启故屠	3334.24.678.12809.07193
徐光启故屠	333412.2435.6780.128090.071931
徐光启墓	3334.24.678.178119
徐光启墓	333412.2435.6780.178119
徐家汇天主教堂	3334.46.4415.1134.411.1935.2419
徐家汇天主教堂	333412.4613.4415.1134.411.193580.2419
徐家汇天主堂	3334.46.4415.1134.411.2419
徐家汇天主堂	333412.4613.4415.1134.411.2419
衡山	33358.20
衡山	333582.20
衍福寺双塔	3344.621.19124.5454.1917
衍福寺双塔	334412.621803.19124.5454.191794
殷太师比干庙	3351.1344.231.1535.112.478
殷太师比干庙	335114.1344.23125.1535.112.4783
殷墟	3351.1987
殷墟	335114.198722
所罗门群岛	335.849.42.0138.962
所罗门群岛	335133.8490.42.013802.9620
径山	33541.20
径山	335411.20
径山寺	33541.20.19124
径山寺	335411.20.19124
瓜亚基尔	33544.122.701.3523
瓜亚基尔	33544.122.7019.35234
瓜达拉哈拉	33544.13445.1061.809.1061
瓜达拉哈拉	33544.134454.1061.8094.1061
瓜达尔	33544.13445.3523
瓜达尔	33544.134454.35234
瓜伊马斯	33544.32013.50.7033
瓜德罗普岛	33544.3312.849.4322.962
瓜德罗普岛	33544.331285.8490.432281.9620
瓜希拉半岛	33544.3413.1061.432.962
瓜希拉半岛	33544.341325.1061.432.9620
瓜兰达	33544.43.13445
瓜兰达	33544.43.134454
瓜纳华托古城	33544.5525.32351.10315.1280.1913
瓜纳华托古城	33544.552534.323512.10315.1280.191354
得克萨斯州	338.12803.17526.7033.4342
得克萨斯州	338114.128035.175263.7033.434242
得烈斯哈芬	338.13226.7033.809.173453
得烈斯哈芬	338114.132269.7033.8094.173453
得斯邦	338.7033.7352
得斯邦	338114.7033.7352
得岛岛	338.962.962
得岛岛	338114.9620.9620
八王寺	34.11.19124
八棱观塔	34.12193.5425.1917
八棱观塔	34.121930.542535.191794
人面石刻	34.13252.14.41533
人面石刻	34.132521.14.415332
八大关	34.134.4334
八达楼子	34.13445.126.58
八达楼子	34.134454.126859.58
八达岭	34.13445.203
八达岭	34.134454.203444
八达岭长城	34.13445.203.3154.1913
八达岭长城	34.134454.203444.3154.191354
八卦城	34.19192.1913
八卦城	34.191924.191354
人境庐	34.196.4767
人境庐	34.196185.4767
入崖口有作诗碑	34.20131.80.13.32312.4019.1438
入崖口有作诗碑	34.201319.80.132511.323121.401914.143812
八路军总司令部旧址	34.299.45.438.518.34454.6180.281.1921
八路军总司令部旧址	34.299080.4577.438065.5180.34454.618052.281.1921
八色瓦普庙	34.3552.79.4322.478
八色瓦普庙	34.355215.79.432281.4783
八廓街	34.4741.3319
八廓街	34.474182.331912
人民大会堂	34.5151.134.341.2419
人民大会堂	34.51515.134.341154.2419
八女投江纪念地	34.59.10355.44121.555.34456.195
八女投江纪念地	34.59.103554.44121.55515.344565.19525
八里城	34.812.1913
八里城	34.81211.191354
八里沟	34.812.44355
八里沟	34.81211.443554
全国农业展览馆	3411.2.453.22.0718.223145.304
全国农业展览馆	3411.251141.453534.22.071854.223145.304621
舍恩布龙宫	341120.251345.1325.13534.4680
舍恩布龙宫	341120.251345.1325.13534.468080
斜阳岛	341122.528.962
斜阳岛	341122.5281.9620
畲族风情	341123.60319.353.497
畲族风情	341123.603194.3534.497121
佘山国家森林公园	341124.20.2.46.121212.1212.3454.251
佘山国家森林公园	341124.20.251141.4613.121212.1212.3454.251131
舒瓦瑟尔	341124.79.11116.3523
舒瓦瑟尔	341124.79.111165.35234
叙利亚	341124.922.122
叙利亚	341124.9222.122
俞大猷墓	341252.134.437514.178119
希贝尼克	3413.28.0735.12803
希贝尼克	341325.28.0735.128035
希俄斯	3413.323124.7033
希俄斯	341325.323124.7033
希希福	3413.3413.621
希希福	341325.341325.621803
希尔维苏姆	3413.3523.5532.1753.5906
希尔维苏姆	341325.35234.553241.175344.5906
希腊	3413.3618
希腊	341325.361881
希诺特佩	3413.40173.3119.323515
希诺特佩	341325.401710.311914.323515
希洪	3413.4418
希洪	341325.441834
希巴姆	3413.5215.5906
希巴姆	341325.5215.5906
希耶波利斯	3413.7252.4453.922.7033
希耶波利斯	341325.7252.445324.9222.7033
兆麟公园	34153.4768.3454.251
兆麟公园	341534.476892.3454.251131
剑桥	3416.129
剑桥	341642.129432
剑桥大学	3416.129.134.64
剑桥大学	341642.129432.134.6458
剑岩	3416.2014
剑岩	341642.2014
从化温泉	3434.3235.4481.3812
从化温泉	3434.3235.448184.381254
釜山	341121.20
含鄱口	34458.368832.80
含鄱口	344580.368832.80
分界洲岛	345.833.44434.962
分界洲岛	3453.833432.444342.9620
岔道城	345320.4338.1913
岔道城	345320.433824.191354
盆景池	34538.814.4452
盆景池	345384.814124.44525
九一八事变陈列馆	35.1.34.180.665.5215.1322.304
九一八事变陈列馆	35.1.34.180012.6654.521524.1322.304621
角抵墓	35.103514.178119
九龙城寨公园	35.13534.1913.467812.3454.251
九龙城寨公园	35.13534.191354.467812.3454.251131
九龙泉	35.13534.3812
九龙泉	35.13534.381254
九龙洞风景区	35.13534.4425.353.814.1345
九龙洞风景区	35.13534.442510.3534.814124.1345
九龙沟	35.13534.44355
九龙沟	35.13534.443554
九龙游乐园	35.13534.446.352.251
九龙游乐园	35.13534.446038.35234.251131
角山	35.20
九山顶自然风景区	35.20.12132.382.9013.353.814.1345
九山顶自然风景区	35.20.121328.382.901349.3534.814124.1345
九峰山风景名胜区	35.209.20.353.814.90.363.1345
九峰山风景名胜区	35.209071.20.3534.814124.9080.36371.1345
九曲十八弯	35.25171.12.34.6657
九曲溪	35.25171.44395
九曲溪	35.25171.443954
几内亚	35.2534.122
几内亚比绍	35.2534.122.1535.5553
几内亚比绍	35.2534.122.1535.555380
九仙山	35.3220.20
九华山	35.32351.20
九华山	35.323512.20
九泷十八滩	35.441354.12.34.44543
九泷十八滩	35.441354.12.34.445431
九溪十八涧	35.44395.12.34.44428
九溪十八涧	35.443954.12.34.444281
九溪烟树	35.44395.6925.125
九溪烟树	35.443954.692511.125414
九寨沟	35.467812.44355
九寨沟	35.467812.443554
九女泉	35.59.3812
九女泉	35.59.381254
儿童公园	35.61812.3454.251
儿童公园	35.618121.3454.251131
九连城	35.774.1913
九连城	35.77454.191354
九咆界风景区	35.803555.833.353.814.1345
九咆界风景区	35.803555.833432.3534.814124.1345
九日山	35.81.20
九里云松	35.812.1154.1234
九里云松	35.81211.1154.123454
九畹溪	35.8346.44395
九畹溪	35.834695.443954
邹容墓	350152.4694.178119
詹天佑铜像	35344.1134.32138.912.32358
詹天佑铜像	353440.1134.321380.912510.323584
詹江布尔	35344.44121.1325.3523
詹江布尔	353440.44121.1325.35234
詹姆斯敦	35344.5906.7033.41589
詹姆斯敦	353440.5906.7033.415890
危地马拉	3555.195.50.1061
危地马拉	3555.19525.50.1061
危地马拉城	3555.195.50.1061.1913
危地马拉城	3555.19525.50.1061.191354
印尼	3515.0735
印尼	35152.0735
印第安	3515.375.465
印第安	35152.375723.4659
印第安纳州	3515.375.465.5525.4342
印第安纳州	35152.375723.4659.552534.434242
印度	3515.4718
印度	35152.471854
印度尼西亚	3515.4718.0735.74.122
印度尼西亚	35152.471854.0735.74.122
印度次大陆	3515.4718.41353.134.5211
印度次大陆	35152.471854.413534.134.521120
印度门	3515.4718.42
印度门	35152.471854.42
印加古城遗址	3515.538.1280.1913.80212.1921
印加古城遗址	35152.5380.1280.191354.802124.1921
印加遗址	3515.538.80212.1921
印加遗址	35152.5380.802124.1921
周恩来故居	3519.251345.168.12809.0712
周恩来故居	351980.251345.168.128090.071280
周恩来在津活动旧址	3519.251345.168.132.4401.449.11545.281.1921
周恩来在津活动旧址	351980.251345.168.13219.4401.4492.115453.281.1921
周恩来同志少年读书旧址纪念馆	3519.251345.168.25.1965.2343.311.40125.5524.281.1921.555.34456.304
周恩来同志少年读书旧址纪念馆	351980.251345.168.25180.1965.2343.311212.401254.5524.281.1921.55515.344565.304621
周恩来邓颖超纪念馆	3519.251345.168.5452.3592.7653.555.34456.304
周恩来邓颖超纪念馆	351980.251345.168.5452.359218.765380.55515.344565.304621
周公祠	3519.3454.6251
周公祠	351980.3454.625180
周庄	3519.4719
周庄	351980.4719
周口店鱼化石产地	3519.80.472.95.3235.14.613.195
周口店鱼化石产地	351980.80.472180.95.3235.14.613.19525
周处庙	3519.9024.478
周处庙	351980.9024.4783
乐山大佛	352.20.134.3257
乐山大佛	35234.20.134.325732
乐寿堂	352.731.2419
乐寿堂	35234.73124.2419
风荷御酒坊	353.1732.3331.447.1960
风荷御酒坊	3534.173212.333112.4475.1960
风车山庄	353.77.20.4719
风车山庄	3534.77.20.4719
匈牙利	35345.79.922
匈牙利	353452.79.9222
丸都山城	354.193.20.1913
丸都山城	354.193812.20.191354
久尔贝勒	354.3523.28.1853
久尔贝勒	354.35234.28.1853
凡尔赛宫	354.3523.4678.4680
凡尔赛宫	354.35234.467828.468080
丹格里加	3541.1290.812.538
丹格里加	3541.129080.81211.5380
丹霞山	3541.1607.20
丹吉尔	3541.1980.3523
丹吉尔	3541.1980.35234
丹普	3541.4322
丹普	3541.432281
丹库塔	3541.477.1917
丹库塔	3541.4777.191794
丹绒不碌	3541.55113.1324.140
丹绒不碌	3541.551134.1324.140124
丹麦	3541.719
丹麦	3541.7190
留尼汪岛	3545.0735.4411.962
留尼汪岛	354533.0735.4411.9620
留尼旺	3545.0735.8111
留尼旺	354533.0735.8111
留园	3545.251
留园	354533.251131
留馀草堂	3545.3034.178.2419
留馀草堂	354533.303412.178112.2419
留余山居	3545.34112.20.0712
留余山居	354533.34112.20.071280
乌尼昂加湖群	3551.0735.81355.538.44128.0138
乌尼昂加湖群	3551.0735.813552.5380.441286.013802
乌拉古城	3551.1061.1280.1913
乌拉古城	3551.1061.1280.191354
乌拉圭	3551.1061.1919
乌拉街满族镇	3551.1061.3319.4417.60319.91122
乌拉街满族镇	3551.1061.331912.441714.603194.911224
乌拉尔斯克	3551.1061.3523.7033.12803
乌拉尔斯克	3551.1061.35234.7033.128035
乌拉湾	3551.1061.44665
乌拉湾	3551.1061.446657
乌干达	3551.112.13445
乌干达	3551.112.134454
乌克兰	3551.12803.43
乌克兰	3551.128035.43
乌菲兹美术馆	3551.1723.43565.431.124.304
乌菲兹美术馆	3551.1723.435656.431114.124.304621
乌萨克	3551.17526.12803
乌萨克	3551.175263.128035
乌苏卢坦	3551.1753.210.19811
乌苏卢坦	3551.175344.2107.19811
乌伦湖	3551.32343.44128
乌伦湖	3551.323435.441286
乌尔城遗址	3551.3523.1913.80212.1921
乌尔城遗址	3551.35234.191354.802124.1921
乌尔禾魔鬼城	3551.3523.92.471219.99.1913
乌尔禾魔鬼城	3551.35234.92.471219.99.191354
乌龟石	3551.35815.14
乌龟潭	3551.35815.44748
乌龟潭	3551.35815.447482
乌兰克	3551.43.12803
乌兰克	3551.43.128035
乌兰巴托	3551.43.5215.10315
乌兹别克斯坦	3551.43565.8053.12803.7033.19811
乌兹别克斯坦	3551.435656.805322.128035.7033.19811
乌波卢	3551.4453.210
乌波卢	3551.445324.2107
乌隆	3551.52901
乌隆	3551.529011
乌姆赛义德	3551.5906.4678.434.3312
乌姆赛义德	3551.5906.467828.434.331285
乌斯怀亚	3551.7033.4913.122
乌斯怀亚	3551.7033.491324.122
乌斯马尔城	3551.7033.50.3523.1913
乌斯马尔城	3551.7033.50.35234.191354
乌斯季	3551.7033.9258
乌斯季卡缅诺戈尔斯克	3551.7033.9258.2124.55132.40173.1534.3523.7033.12803
乌斯季卡缅诺戈尔斯克	3551.7033.9258.2124.551321.401710.1534.35234.7033.128035
乌素图召	3551.715.259.5380
乌素图召	3551.715624.259041.5380
乌里雅苏台	3551.812.793.1753.548
乌里雅苏台	3551.81211.793241.175344.5480
乌田纳	3551.83.5525
乌田纳	3551.83.552534
乌骨城	3551.85.1913
乌骨城	3551.85.191354
乌多姆塞	3551.909.5906.46781
乌多姆塞	3551.9090.5906.467819
乌镇	3551.91122
乌镇	3551.911224
乌穆阿希亚	3551.9238.5218.3413.122
乌穆阿希亚	3551.923813.521802.341325.122
包奇	355.13418
包奇	35515.134182
包考	355.1931
包考	35515.19315
包公祠	355.3454.6251
包公祠	35515.3454.625180
包兰铁路	355.43.913.299
包兰铁路	35515.43.913114.299080
色拉寺	3552.1061.19124
色拉寺	355215.1061.19124
色萨利	3552.17526.922
色萨利	355215.175263.9222
解州关帝庙	3553.4342.4334.6125.478
解州关帝庙	355331.434242.4334.6125.4783
凤山寺	3554.20.19124
凤山门	3554.20.42
